Original Bar date,Sales
1/1/1954,1
12/1/1955,1
1/1/1958,1
12/1/1958,1
9/1/1968,1
12/1/1968,1
1/1/1969,1
5/1/1969,1
1/1/1972,2
12/1/1972,1
5/1/1973,1
6/1/1973,1
3/1/1974,1
4/1/1974,1
5/1/1974,1
9/1/1974,1
10/1/1974,2
12/1/1974,1
5/1/1975,4
6/1/1975,1
9/1/1975,3
10/1/1975,2
12/1/1975,1
9/1/1976,2
10/1/1976,1
11/1/1976,1
12/1/1976,1
1/12/1977,1
2/15/1977,1
5/1/1977,4
6/1/1977,1
7/1/1977,1
9/1/1977,1
11/1/1977,3
12/1/1977,1
5/1/1978,1
8/1/1978,1
9/1/1978,1
11/1/1978,2
12/1/1978,1
12/15/1978,1
1/1/1979,1
7/1/1979,1
8/1/1979,1
10/1/1979,4
11/1/1979,5
11/8/1979,1
11/30/1979,1
12/1/1979,3
12/13/1979,1
1/1/1980,3
3/1/1980,1
4/1/1980,1
10/1/1980,2
11/1/1980,3
12/1/1980,3
1/1/1981,2
2/1/1981,1
5/1/1981,1
5/31/1981,1
6/1/1981,1
7/3/1981,1
8/1/1981,1
10/1/1981,1
12/1/1981,3
1/1/1982,1
3/1/1982,1
4/1/1982,1
4/28/1982,1
5/1/1982,2
7/15/1982,1
10/1/1982,3
11/1/1982,2
12/1/1982,2
1/1/1983,4
5/1/1983,4
6/1/1983,1
7/1/1983,1
9/1/1983,2
10/1/1983,3
11/1/1983,2
12/1/1983,3
1/1/1984,1
2/1/1984,1
5/1/1984,1
10/1/1984,3
11/1/1984,1
12/1/1984,1
2/1/1985,1
4/1/1985,1
5/1/1985,2
6/1/1985,1
9/1/1985,1
10/1/1985,2
11/1/1985,1
12/1/1985,3
1/1/1986,3
3/1/1986,1
5/1/1986,1
9/1/1986,1
10/1/1986,2
11/1/1986,6
12/1/1986,1
1/1/1987,1
2/1/1987,3
5/1/1987,2
6/1/1987,1
8/1/1987,1
9/1/1987,1
10/1/1987,3
12/1/1987,1
1/1/1988,1
6/1/1988,1
7/1/1988,1
9/1/1988,1
10/1/1988,1
11/1/1988,2
12/1/1988,1
1/9/1989,1
5/1/1989,2
6/1/1989,2
7/1/1989,2
10/1/1989,2
11/1/1989,2
12/1/1989,1
1/1/1990,2
2/1/1990,1
3/2/1990,1
5/1/1990,1
6/1/1990,1
7/1/1990,3
9/1/1990,3
10/1/1990,3
10/15/1990,1
11/1/1990,6
12/1/1990,1
1/1/1991,1
3/1/1991,1
4/26/1991,1
6/1/1991,2
6/6/1991,1
7/1/1991,1
9/1/1991,2
10/1/1991,1
11/1/1991,3
11/12/1991,1
12/1/1991,4
1/1/1992,3
2/1/1992,1
4/1/1992,1
5/1/1992,1
6/1/1992,5
10/1/1992,2
11/1/1992,2
12/1/1992,3
1/1/1993,2
5/5/1993,1
6/1/1993,1
9/1/1993,1
10/1/1993,3
11/1/1993,3
11/8/1993,1
12/1/1993,1
1/1/1994,2
4/1/1994,1
6/1/1994,1
10/1/1994,1
11/1/1994,3
12/1/1994,1
1/1/1995,2
4/1/1995,1
5/1/1995,3
6/1/1995,1
7/1/1995,1
10/1/1995,1
10/11/1995,1
11/1/1995,3
1/1/1996,1
6/1/1996,3
9/1/1996,1
10/1/1996,5
11/1/1996,3
1/1/1997,3
6/1/1997,2
