Original bar date,Sales quantity
1/1/1950,1
1/1/1954,2
12/1/1955,1
8/1/1956,1
1/1/1957,2
1/1/1958,2
1/1/1964,1
6/1/1964,1
11/1/1965,2
2/1/1966,1
1/1/1967,2
6/1/1968,1
7/1/1970,2
10/1/1970,1
12/1/1970,1
1/1/1971,2
6/1/1971,1
1/1/1972,2
4/1/1972,1
6/1/1972,2
10/1/1972,1
5/1/1973,1
5/20/1973,1
6/1/1973,1
11/1/1973,1
12/1/1973,1
4/1/1974,2
9/1/1974,1
10/1/1974,1
11/1/1974,2
1/1/1975,1
5/1/1975,2
6/1/1975,1
9/1/1975,1
10/1/1975,1
12/1/1975,1
3/1/1976,1
5/1/1976,2
6/1/1976,1
7/1/1976,1
9/1/1976,3
10/1/1976,1
12/1/1976,1
1/1/1977,1
2/1/1977,1
2/15/1977,1
5/1/1977,3
6/1/1977,3
7/1/1977,1
9/1/1977,1
11/1/1977,3
12/1/1977,2
1/1/1978,2
3/1/1978,1
4/1/1978,1
6/1/1978,1
8/1/1978,1
9/1/1978,1
10/1/1978,1
11/1/1978,3
1/1/1979,1
2/1/1979,1
5/1/1979,4
8/1/1979,2
10/1/1979,1
11/1/1979,4
11/30/1979,1
12/1/1979,1
1/1/1980,1
2/1/1980,1
4/1/1980,1
6/1/1980,1
10/1/1980,3
11/1/1980,1
12/1/1980,3
1/1/1981,2
3/1/1981,1
6/1/1981,1
7/1/1981,1
8/1/1981,1
9/1/1981,1
10/1/1981,2
11/1/1981,2
12/1/1981,2
1/1/1982,3
4/1/1982,1
5/1/1982,1
6/1/1982,1
7/15/1982,1
11/1/1982,2
12/1/1982,1
1/1/1983,1
1/13/1983,1
2/1/1983,1
5/1/1983,3
6/1/1983,3
8/1/1983,1
10/1/1983,3
11/1/1983,1
12/1/1983,2
1/1/1984,2
2/1/1984,1
6/1/1984,1
8/1/1984,1
9/1/1984,2
10/1/1984,1
11/1/1984,1
12/1/1984,1
3/1/1985,1
5/1/1985,1
6/1/1985,1
9/1/1985,2
10/1/1985,1
11/1/1985,4
12/1/1985,6
12/10/1985,1
1/1/1986,2
3/1/1986,2
5/1/1986,1
6/1/1986,1
9/1/1986,2
10/1/1986,5
11/1/1986,4
12/1/1986,1
1/1/1987,1
2/1/1987,1
4/24/1987,1
8/1/1987,1
10/1/1987,3
10/28/1987,1
11/1/1987,3
12/11/1987,1
1/1/1988,1
7/1/1988,2
9/1/1988,1
10/1/1988,2
11/1/1988,3
6/1/1989,1
8/1/1989,1
9/1/1989,2
10/1/1989,3
11/1/1989,2
1/1/1990,1
5/1/1990,2
9/1/1990,2
10/1/1990,2
11/1/1990,4
12/1/1990,1
1/1/1991,2
2/1/1991,1
3/1/1991,1
5/1/1991,2
6/1/1991,2
9/1/1991,1
10/1/1991,3
11/1/1991,1
1/1/1992,2
4/1/1992,1
6/1/1992,2
7/1/1992,1
9/1/1992,2
10/1/1992,2
11/1/1992,2
12/1/1992,1
1/1/1993,1
6/1/1993,2
6/3/1993,1
9/1/1993,1
10/1/1993,2
11/1/1993,1
1/1/1994,1
5/1/1994,1
9/1/1994,2
10/1/1994,1
12/1/1994,6
12/2/1994,1
3/1/1995,1
5/1/1995,2
8/1/1995,1
9/1/1995,1
11/1/1995,2
11/3/1995,1
12/1/1995,1
12/12/1995,1
4/1/1996,1
