Original bar date,Sales
1/1/1954,2
12/1/1955,1
5/1/1956,1
1/1/1961,1
9/1/1966,1
8/1/1968,1
12/1/1968,1
1/1/1969,2
11/1/1969,1
5/1/1970,1
4/1/1971,1
11/1/1971,2
4/1/1972,1
9/1/1972,1
12/1/1972,1
2/1/1973,1
3/1/1973,1
5/1/1973,1
6/1/1973,2
8/1/1973,1
12/1/1973,2
1/1/1974,1
3/1/1974,1
4/1/1974,1
9/1/1974,1
10/1/1974,3
1/1/1975,1
3/1/1975,1
5/1/1975,1
9/1/1975,2
1/1/1976,1
9/1/1976,2
10/1/1976,3
11/1/1976,2
12/1/1976,1
1/1/1977,1
2/15/1977,1
4/1/1977,1
6/1/1977,1
11/1/1977,2
12/16/1977,1
1/1/1978,1
4/1/1978,1
5/19/1978,1
6/1/1978,1
11/1/1978,2
4/1/1979,1
5/1/1979,3
9/1/1979,1
10/1/1979,1
11/1/1979,5
12/1/1979,2
4/1/1980,3
5/25/1980,1
9/1/1980,3
9/26/1980,1
10/1/1980,2
11/1/1980,2
12/1/1980,1
12/19/1980,1
1/1/1981,3
4/1/1981,1
5/1/1981,1
5/15/1981,1
6/1/1981,1
10/1/1981,1
11/5/1981,1
12/1/1981,2
1/1/1982,1
4/1/1982,2
5/1/1982,1
6/1/1982,1
7/15/1982,1
9/1/1982,1
10/1/1982,2
11/1/1982,5
1/1/1983,1
1/13/1983,1
5/1/1983,1
9/1/1983,1
10/1/1983,1
12/1/1983,1
1/1/1984,3
5/1/1984,1
6/1/1984,1
10/1/1984,3
11/1/1984,3
11/8/1984,1
12/31/1984,1
6/1/1985,1
7/1/1985,1
9/1/1985,2
10/1/1985,2
11/1/1985,1
12/1/1985,2
1/1/1986,5
2/1/1986,1
4/1/1986,1
7/1/1986,1
10/1/1986,2
11/1/1986,4
12/1/1986,1
1/1/1987,2
7/1/1987,1
8/1/1987,1
9/1/1987,3
10/1/1987,2
11/1/1987,3
12/1/1987,3
4/13/1988,1
5/1/1988,1
6/1/1988,1
6/30/1988,1
7/1/1988,2
9/1/1988,2
10/1/1988,1
11/1/1988,1
1/1/1989,1
2/1/1989,2
3/1/1989,1
6/1/1989,2
7/1/1989,1
9/1/1989,1
10/1/1989,1
11/1/1989,3
12/1/1989,3
3/2/1990,1
5/1/1990,1
6/1/1990,1
7/1/1990,1
9/1/1990,2
10/1/1990,1
11/1/1990,1
12/1/1990,1
1/1/1991,1
2/1/1991,1
5/1/1991,3
9/1/1991,2
10/1/1991,4
11/1/1991,2
1/1/1992,3
4/1/1992,1
5/1/1992,1
6/1/1992,2
7/1/1992,1
9/23/1992,1
10/1/1992,1
11/1/1992,2
11/22/1992,1
11/30/1992,1
12/1/1992,1
12/15/1992,1
1/1/1993,1
2/1/1993,1
4/1/1993,1
5/1/1993,3
6/1/1993,2
6/3/1993,1
10/1/1993,1
11/1/1993,2
12/1/1993,1
1/1/1994,4
4/1/1994,1
5/1/1994,1
6/1/1994,1
9/1/1994,2
10/1/1994,2
12/1/1994,7
1/1/1995,1
5/1/1995,2
6/1/1995,1
9/1/1995,1
10/1/1995,1
10/11/1995,1
11/1/1995,3
12/1/1995,2
12/12/1995,1
12/28/1995,1
1/1/1996,2
4/22/1996,1
6/1/1996,2
10/1/1996,5
11/1/1996,5
12/1/1996,1
12/18/1996,1
1/1/1997,4
4/1/1997,1
5/1/1997,2
6/1/1997,1
8/1/1997,1
9/1/1997,2
10/1/1997,4
11/1/1997,2
11/3/1997,1
12/1/1997,3
1/1/1998,2
3/15/1998,1
6/1/1998,1
10/1/1998,1
10/9/1998,2
11/1/1998,5
12/1/1998,3
1/1/1999,1
6/1/1999,4
10/1/1999,3
11/1/1999,3
11/18/1999,1
12/1/1999,5
12/8/1999,1
1/1/2000,1
3/10/2000,1
8/6/2000,1
9/1/2000,2
10/1/2000,1
11/1/2000,1
12/1/2000,1
1/1/2001,2
4/1/2001,1
5/21/2001,1
7/1/2001,1
7/2/2001,1
9/1/2001,1
10/1/2001,1
11/1/2001,3
1/1/2002,1
2/1/2002,1
3/1/2002,1
