Original Bar Date,Sales Quantity
12/1/1952,1
12/1/1955,1
8/1/1956,1
2/1/1960,1
1/1/1964,1
12/1/1964,1
12/1/1965,1
1/1/1966,1
11/1/1967,1
1/1/1968,1
8/1/1968,1
11/1/1968,1
12/1/1968,1
12/1/1969,1
1/1/1970,1
4/1/1970,1
5/1/1970,1
11/1/1970,1
1/1/1971,3
4/1/1971,1
10/1/1971,1
1/1/1972,1
6/1/1972,1
10/1/1972,1
11/1/1972,2
12/1/1972,1
6/1/1973,1
8/1/1973,1
9/1/1973,1
10/1/1973,1
12/1/1973,4
2/1/1974,1
3/1/1974,1
4/1/1974,1
5/1/1974,1
9/1/1974,1
10/1/1974,1
11/1/1974,3
12/1/1974,2
3/1/1975,2
5/1/1975,1
9/1/1975,1
10/1/1975,1
11/1/1975,1
12/1/1975,1
1/1/1976,1
9/1/1976,3
12/1/1976,1
4/1/1977,1
5/1/1977,1
9/1/1977,1
10/1/1977,3
11/1/1977,2
12/1/1977,3
3/1/1978,2
4/5/1978,1
5/1/1978,4
6/1/1978,2
10/1/1978,1
11/1/1978,1
12/1/1978,2
2/1/1979,1
5/1/1979,4
5/16/1979,1
6/1/1979,1
9/1/1979,1
10/1/1979,1
11/1/1979,4
12/1/1979,3
1/1/1980,2
3/1/1980,1
5/1/1980,2
9/1/1980,1
9/26/1980,1
10/1/1980,4
11/1/1980,1
12/1/1980,3
12/19/1980,1
1/1/1981,3
4/1/1981,2
5/1/1981,1
6/1/1981,1
10/1/1981,1
11/1/1981,1
12/1/1981,7
1/1/1982,2
4/1/1982,1
5/1/1982,1
6/1/1982,1
7/1/1982,2
10/1/1982,2
11/1/1982,3
11/11/1982,1
12/1/1982,4
1/1/1983,4
5/1/1983,3
6/1/1983,1
10/1/1983,1
11/1/1983,2
12/1/1983,2
3/1/1984,1
5/1/1984,2
9/7/1984,1
10/1/1984,2
11/1/1984,1
1/1/1985,2
1/21/1985,1
2/1/1985,1
3/1/1985,2
5/1/1985,1
6/1/1985,1
7/1/1985,1
9/1/1985,1
10/1/1985,3
11/1/1985,2
12/1/1985,4
2/1/1986,1
5/1/1986,1
6/1/1986,1
9/1/1986,1
10/1/1986,2
11/1/1986,3
11/12/1986,1
12/1/1986,1
1/1/1987,2
2/1/1987,1
6/1/1987,2
7/1/1987,1
9/1/1987,1
10/1/1987,2
10/28/1987,1
11/1/1987,2
12/1/1987,2
12/11/1987,1
1/1/1988,3
6/30/1988,1
7/1/1988,2
9/1/1988,1
11/1/1988,5
12/1/1988,1
1/1/1989,1
5/1/1989,1
6/6/1989,1
9/1/1989,1
10/1/1989,1
10/6/1989,1
11/1/1989,2
12/1/1989,2
1/1/1990,2
1/9/1990,1
2/1/1990,1
3/1/1990,1
6/1/1990,1
8/1/1990,1
9/1/1990,1
10/1/1990,1
11/1/1990,2
12/6/1990,1
1/1/1991,1
1/22/1991,1
5/1/1991,2
6/1/1991,2
8/1/1991,1
9/1/1991,2
10/1/1991,4
11/1/1991,2
1/1/1992,3
6/1/1992,1
7/1/1992,1
9/1/1992,2
10/1/1992,3
11/1/1992,2
12/1/1992,3
12/15/1992,1
12/22/1992,1
1/1/1993,1
4/1/1993,1
6/1/1993,2
10/1/1993,1
12/1/1993,1
12/28/1993,1
1/1/1994,3
4/1/1994,1
5/1/1994,2
9/1/1994,1
10/1/1994,2
11/1/1994,2
12/1/1994,4
6/1/1995,1
10/1/1995,2
11/1/1995,4
1/1/1996,1
3/1/1996,1
10/1/1996,1
11/1/1996,2
12/1/1996,2
12/10/1996,1
1/1/1997,3
2/1/1997,1
2/19/1997,1
5/1/1997,2
6/1/1997,1
9/1/1997,2
10/1/1997,2
11/1/1997,2
12/1/1997,3
1/1/1998,2
2/27/1998,1
5/1/1998,1
6/1/1998,2
9/1/1998,1
9/10/1998,1
10/1/1998,2
10/9/1998,1
11/1/1998,1
11/6/1998,1
12/1/1998,4
1/1/1999,1
1/11/1999,1
4/1/1999,1
5/1/1999,1
6/1/1999,2
7/31/1999,1
9/1/1999,2
10/1/1999,1
11/1/1999,2
12/1/1999,5
1/1/2000,1
9/1/2000,1
11/1/2000,1
12/1/2000,2
12/6/2000,1
1/1/2001,2
4/1/2001,1
5/1/2001,1
7/1/2001,1
11/1/2001,1
3/1/2002,1
4/1/2002,3
5/1/2002,2
7/1/2002,1
9/1/2002,2
10/1/2002,2
11/1/2002,6
12/1/2002,1
5/1/2003,2
11/1/2003,3
4/1/2004,1
6/1/2004,1
10/1/2004,1
11/1/2004,3
11/15/2004,1
11/18/2004,1
12/1/2004,2
1/1/2005,2
5/1/2005,1
6/1/2005,1
8/1/2005,1
10/1/2005,1
11/1/2005,1
12/5/2005,1
1/1/2006,2
4/1/2006,1
7/1/2006,1
8/1/2006,1
9/1/2006,1
9/27/2006,1
10/1/2006,2
12/1/2006,3
1/7/2007,1
